id,project_type,location,funding_amount_cr,prior_experience_years,estimated_duration_months,actual_duration_months,cost_overrun_pct,delay,approval_outcome,issues_found,quality_score,quality_category
461,Road,Sikkim,22.55,1,44.4,55.7,71.42,True,Approved,Budget Miscalculation; Environmental Non-Compliance,4.71,Poor
462,Road,Arunachal Pradesh,78.02,2,8.1,12.7,42.66,False,Approved,Budget Miscalculation; Technical Flaw,9.52,Good
463,Road,Manipur,11.84,0,13.3,16.8,18.41,False,Approved,Technical Flaw; Timeline Unrealistic,4.53,Poor
464,Education,Tripura,98.81,2,28.4,30.8,40.03,False,Approved,Technical Flaw; Timeline Unrealistic,6.69,Needs Revision
465,Tourism,Arunachal Pradesh,27.62,1,34.6,45.0,11.0,True,Approved,None,5.99,Needs Revision
466,Education,Assam,12.46,2,45.8,50.1,38.59,False,Revised,Budget Miscalculation; Technical Flaw; Timeline Unrealistic,8.94,Good
467,Education,Assam,94.15,5,8.1,10.1,0.0,False,Approved,None,5.33,Needs Revision
468,Road,Manipur,93.29,5,40.6,41.8,0.0,False,Approved,Timeline Unrealistic,7.49,Good
469,Road,Assam,82.1,0,13.2,20.6,45.98,True,Approved,None,5.93,Needs Revision
470,Tourism,Meghalaya,97.92,5,25.1,26.9,6.62,False,Approved,Timeline Unrealistic; Environmental Non-Compliance; Technical Flaw,9.63,Good
471,Health,Assam,11.09,1,32.2,41.1,59.17,True,Approved,None,6.37,Needs Revision
472,Education,Meghalaya,29.62,2,12.8,16.9,37.94,True,Revised,None,9.85,Good
473,Health,Nagaland,84.97,5,39.8,41.9,2.77,False,Revised,Environmental Non-Compliance,9.87,Good
474,Power,Meghalaya,56.19,1,16.0,20.5,22.88,True,Approved,Budget Miscalculation; Environmental Non-Compliance; Technical Flaw,6.02,Needs Revision
475,Tourism,Assam,67.56,2,21.8,27.4,0.0,True,Rejected,Environmental Non-Compliance,5.76,Needs Revision
476,Road,Sikkim,56.81,10,44.5,47.3,23.13,False,Approved,Budget Miscalculation; Technical Flaw,5.42,Needs Revision
477,Road,Nagaland,49.81,1,14.2,21.5,73.24,True,Approved,Timeline Unrealistic,8.2,Good
478,Health,Nagaland,67.53,2,14.5,21.2,0.0,True,Revised,Timeline Unrealistic; Budget Miscalculation,5.03,Needs Revision
479,Tourism,Mizoram,20.87,5,28.7,33.1,0.0,True,Approved,Technical Flaw,8.92,Good
480,Power,Manipur,74.3,2,38.9,40.3,0.0,False,Approved,Budget Miscalculation; Environmental Non-Compliance,7.61,Good
481,Health,Manipur,4.21,5,37.3,41.8,33.28,False,Approved,Timeline Unrealistic; Environmental Non-Compliance,4.39,Poor
482,Road,Manipur,57.09,5,12.0,10.4,0.0,False,Revised,Budget Miscalculation,7.65,Good
483,Education,Arunachal Pradesh,32.56,5,14.8,13.0,0.0,False,Revised,Budget Miscalculation,4.98,Poor
484,Education,Tripura,64.64,1,48.0,47.0,0.0,False,Revised,Technical Flaw; Environmental Non-Compliance; Timeline Unrealistic,7.99,Good
485,Education,Arunachal Pradesh,52.65,1,9.8,12.6,19.39,True,Approved,Technical Flaw,6.67,Needs Revision
486,Education,Assam,80.51,10,27.8,28.4,0.77,False,Approved,Budget Miscalculation; Technical Flaw,4.69,Poor
487,Health,Arunachal Pradesh,78.29,0,30.3,37.0,41.56,True,Revised,Budget Miscalculation; Environmental Non-Compliance; Timeline Unrealistic,9.59,Good
488,Education,Sikkim,10.39,1,36.6,43.3,31.14,True,Approved,Environmental Non-Compliance,9.4,Good
489,Tourism,Tripura,12.44,3,29.1,28.6,33.17,False,Approved,Technical Flaw,9.91,Good
490,Power,Meghalaya,98.16,2,20.3,23.0,47.04,False,Approved,Budget Miscalculation,6.02,Needs Revision
491,Health,Sikkim,82.86,2,27.4,34.0,0.0,True,Approved,None,7.13,Good
492,Tourism,Arunachal Pradesh,95.22,5,47.7,50.6,14.69,False,Approved,Environmental Non-Compliance,8.26,Good
493,Education,Manipur,2.34,1,28.1,36.4,27.13,True,Approved,None,7.38,Good
494,Education,Arunachal Pradesh,68.82,2,27.4,32.2,17.97,True,Revised,Technical Flaw; Budget Miscalculation,5.77,Needs Revision
495,Health,Sikkim,42.73,10,37.3,46.0,0.0,True,Approved,Technical Flaw; Environmental Non-Compliance; Budget Miscalculation,8.12,Good
496,Health,Meghalaya,8.24,10,23.4,22.6,13.41,False,Approved,Budget Miscalculation; Environmental Non-Compliance,6.72,Needs Revision
497,Road,Assam,92.04,5,34.3,34.0,0.0,False,Approved,None,5.45,Needs Revision
498,Health,Arunachal Pradesh,66.74,0,14.1,19.9,50.81,True,Approved,None,4.97,Poor
499,Tourism,Assam,64.91,10,27.4,28.3,13.31,False,Approved,Technical Flaw; Environmental Non-Compliance; Budget Miscalculation,5.17,Needs Revision
500,Tourism,Tripura,44.92,3,42.0,54.5,44.12,True,Approved,Budget Miscalculation; Timeline Unrealistic,7.3,Good
